State,Month,Region_Type,ANC_Registered,Adult_Death_TB,Adult_Suicide,C_Section,Child_Diarrhoea,Child_Malaria,Child_TB,Condoms_Distributed,Early_Breastfeeding,Immunization_MR,Infant_Death_Sepsis,Institutional_Delivery,Low_Birth_Weight,Maternal_Death_Bleeding,PW_Hypertension,Severe_Anaemia_Treated
Dadra & Nagar Haveli,March,Rural,501.0,3.0,4.0,162.0,165.0,0.0,0.0,47309.0,608.0,437.0,1.0,631.0,246.0,0.0,18.0,15.0
Dadra & Nagar Haveli,March,Urban,141.0,0.0,0.0,36.0,0.0,0.0,0.0,52429.0,66.0,204.0,0.0,65.0,12.0,0.0,0.0,0.0
Dadra & Nagar Haveli,May,Rural,540.0,1.0,9.0,231.0,222.0,28.0,1.0,15884.0,587.0,420.0,1.0,630.0,222.0,0.0,34.0,22.0
Dadra & Nagar Haveli,May,Urban,149.0,0.0,0.0,41.0,0.0,0.0,0.0,18418.0,52.0,172.0,0.0,80.0,6.0,0.0,0.0,0.0
Dadra & Nagar Haveli,November,Rural,488.0,0.0,10.0,238.0,168.0,0.0,0.0,34477.0,844.0,475.0,0.0,869.0,321.0,0.0,49.0,24.0
Dadra & Nagar Haveli,November,Urban,184.0,0.0,0.0,74.0,0.0,0.0,0.0,44250.0,123.0,164.0,0.0,121.0,19.0,0.0,0.0,0.0
Dadra & Nagar Haveli,October,Rural,421.0,1.0,3.0,212.0,207.0,0.0,0.0,26029.0,793.0,495.0,1.0,833.0,319.0,1.0,51.0,20.0
Dadra & Nagar Haveli,October,Urban,158.0,0.0,0.0,61.0,0.0,0.0,0.0,39380.0,116.0,215.0,0.0,117.0,6.0,0.0,0.0,0.0
Dadra & Nagar Haveli,September,Rural,565.0,1.0,3.0,231.0,385.0,0.0,0.0,25459.0,687.0,532.0,0.0,775.0,341.0,0.0,37.0,14.0
Dadra & Nagar Haveli,September,Urban,163.0,0.0,0.0,43.0,0.0,0.0,0.0,52830.0,0.0,248.0,0.0,84.0,24.0,0.0,0.0,0.0
Daman & Diu,April,Rural,416.0,1.0,3.0,81.0,66.0,0.0,0.0,8006.0,223.0,274.0,0.0,263.0,59.0,0.0,2.0,0.0
